question,answer
What does the MERS LRT disease involve?,"fever, cough, breathing difficulties and pneumonia that may progress to acute respiratory distress syndrome, multiorgan failure and death in 20 % to 40 % of those infected. "
Where else MERS-COV has also been detected?, in mild and influenza-like illnesses and in those with no signs or symptoms.
Who suffers severe diseases from MERS?,Older males
" Compared to severe acute respiratory syndrome (SARS)  and another sometimes- fatal zoonotic coronavirus disease, how does MERS affect the patients?","MERS progresses more rapidly to respiratory failure and acute kidney injury (it also has an affinity for growth in kidney cells under laboratory conditions), is more frequently reported in patients with underlying disease and is more often fatal."
To what have most human cases of MERS  been linked?,to lapses in infection prevention and control (IPC) in healthcare settings
Among whom 20% of the virus detection are reported?, among healthcare workers (HCWs) and higher exposures in those with occupations that bring them into close contact with camels. 
What have sero-surveys of MERS virus found?,widespread evidence of past infection in adult camels and limited past exposure among humans.
How was the first culture of the new Coronavirus announced?,"An email from Dr Ali Mohamed Zaki, an Egyptian virologist working at the Dr Soliman Fakeeh Hospital in Jeddah in the Kingdom of Saudi Arabia (KSA)"
Where was the Email published?,on the website of the professional emerging diseases (ProMED) network
When was the Email  published?,20 th September 2012 
Whose was the first reported case?,a 60 year old man from Bisha in the KSA
How many  viral RNA or virus-specific antibodies been detected?,"1,493"
What is the death rate from MERS-COV?,"over a third of the positive people dying (at least 527, 35 %)"
What did the discovery process over two to three years reveal?,"a virus that had infected over 90 % of adult dromedary camels (DC; Camelus dromedarius) in the KSA [4] , also DCs across the Arabian Peninsula and parts of Africa that are a source of DC imports for the KSA "
What does subsequent transmission of MERS-CoV to other humans require?, relatively close and prolonged exposure 
What would restrict access to both the virus and to viral diagnostics ?,The first viral isolate was patented 
How was the virus then made freely available? ," sensitive, validated reverse transcriptase real-time polymerase chain reaction (RT-rtPCR)-based diagnostics were quickly described "
What has epidemiology and research identified the MERS-CoV's cell receptor is?,as exopeptidase dipeptidyl peptidase 4 (DPP4; also called CD26)
How does MERS-CoV compare with SARS-CoV?,eliciting a more proinflammatory response than SARS-CoV
How does MERS-CoV compare with SARS-CoV?,MERS kills its human host more often than SARS did (20-40 % versus 9 % for SARS 
How does MERS-CoV spread among people?,From intermittent animal-to-human spill-over events
Who gets more severe disease from MERS?,"among older adults, especially males, with pre-existing diseases. "
"What is the spread of MERS-CoV among humans, associated with?","with outbreaks in hospitals, with around 20 % of all cases to date involving healthcare workers (HCWs)."
What do the DCs suffer with MERS-CoV infection?," the equivalent of a 'common cold' from MERS-CoV infection,"
What happens to humans infected by MERS-CoV virus?, the virus can be a more serious and opportunistic pathogen associated with the death of up to 40 % of reported cases.
What is the incubation period of MERS?," five to six days, ranging from two to 16 days"
What is the duration between when illness begins in one person and subsequently spreads to another?,13 to 14 days
What is the median time to death in case of progressive illness?,11 to 13 days
What is the progression  of symptoms to disease?,"Fever and gastrointestinal symptoms may form a prodrome, after which symptoms decline, only to be followed by a more severe systemic and respiratory syndrome "
What did the later WHO definition of MERS clearly state?,"a confirmed case included any person whose sample was RT-PCR positive for MERS-CoV, or who produced a seroconversion, irrespective of clinical signs and symptoms."
What percentage of cases KSA has been a source of?, 79 % 
What is severe MARS noted for?,"its impact among older men with comorbid diseases including diabetes mellitus, cirrhosis and various lung, renal and cardiac conditions "
What symptoms appear among the  confirmed cases of MERS?,"fever, cough and upper respiratory tract (URT) signs and symptoms usually occur first, followed within a week by progressive LRT distress and lymphopaenia"
"What do patients often present to a hospital with, in cases of MERS?", pneumonia
What can  MERS disease progress to?,acute respiratory distress syndrome and multiorgan system failure
What percentage of all  reported cases has MERS  reportedly killed ?, 35 % 
What percentage of of all reported cases has MERS  reportedly killed in KSA?,42 %
What was mortality in  South Korea from MERS disease?,ranged from 7 % among younger age groups to 40 % among those aged 60 years and above
Which are the preferred method for MERS-CoV detection?, PCR-based techniques 
What  have become a key diagnostic and taxonomic target for CoV species identification?,The first open reading frames 
Why  it can be concluded that MERS-COV is a novel and distinct virus?," less than 80 % identity between the amino acid sequence of MERS ORF 1ab and betacoronavirus relatives, Tylonycteris bat HKU4 and Pipistrellus bat HKU5"
